iter	RMSE
1565	39214.57697
1566	39190.29631
1567	39145.71354
1568	39121.78652
1569	39115.56056
1570	39075.13364
1571	39020.57768
1572	38999.58674
1573	38981.17628
1574	38976.99988
1575	38944.10622
1576	38939.45299
1577	38885.2914
1578	38858.59841
1579	38800.58972
1580	38757.41177
1581	38718.6337
1582	38714.39986
1583	38696.20359
1584	38637.89706
1585	38611.16213
1586	38558.22454
1587	38514.19079
1588	38478.17864
1589	38461.8795
1590	38401.29486
1591	38373.97322
1592	38371.47458
1593	38369.04958
1594	38317.17192
1595	38304.48314
1596	38251.81166
1597	38210.73451
1598	38169.81054
1599	38167.41837
1600	38150.8966
1601	38130.19665
1602	38083.69112
1603	38047.21957
1604	38006.40372
1605	37979.69449
1606	37953.11825
1607	37898.22388
1608	37876.80673
1609	37857.5636
1610	37824.96316
1611	37814.99184
1612	37780.33571
1613	37750.4388
1614	37748.26018
1615	37719.49576
1616	37669.33401
1617	37636.18336
1618	37634.1892
1619	37579.24257
1620	37568.55982
1621	37540.23097
1622	37528.21663
1623	37505.35488
1624	37503.06102
1625	37469.20435
1626	37466.73494
1627	37437.08079
1628	37382.2708
1629	37344.25649
1630	37308.91986
1631	37278.04371
1632	37243.25137
1633	37241.36508
1634	37209.46292
1635	37186.9748
1636	37159.77731
1637	37117.02332
1638	37114.88395
1639	37103.70884
1640	37084.63898
1641	37065.0883
1642	37031.79439
1643	37021.89482
1644	37001.27011
1645	36980.10375
1646	36963.79335
1647	36954.53932
1648	36925.43951
1649	36924.01329
1650	36905.95711
1651	36883.48069
1652	36833.74801
1653	36798.16705
1654	36796.13278
1655	36761.51119
1656	36738.48577
1657	36727.18196
1658	36707.39462
1659	36688.52971
1660	36666.30148
1661	36664.2728
1662	36644.74355
1663	36620.08151
